"id";"indicador";"encuesta_id";"created_at";"updated_at"
1;"El tiempo dedicado al desmontaje es elevado, se requiere tomar acciones de mejora para reducirlos";3;"";""
2;"Se requiere revisión en los procesos de ensamble, los tiempos son elevados";3;"";""
3;"Se requiere mejorar la claridad de los procedimientos para las actividades de montaje, para mejorar los tiempos de cambio";3;"";""
4;"El tiempo invertido en los ajustes es elevado, se sugiere realizar acciones para disminuir el número de ajustes";3;"";""
5;"Las operaciones internas y externas no están claramente definidas para los cambios de productos, se requiere una clasificación y control clara de estas operaciones";3;"";""
6;"Se recomienda implementar programas de planeación por periodos (diaria, semanal, mensual, etc.), que permitan una mejor planeación, organizar  y coordinación de las actividades de cambios";3;"";""
7;"Se requiere realizar con anticipación las actividades externas para optimizar los tiempo en el cambio";3;"";""
8;"Se recomienda tomar medidas de mejora en la validación y control  de los set-up y rup-up";3;"";""
9;"Se requiere medición, monitoreo y/o seguimiento de los indicadores de tiempo y recursos utilizados en las actividades de cambio";4;"";""
10;"Se requiere atención en los procesos de cambios manuales, los tiempos pueden mejorarse implementando algún sistema de automatización";4;"";""
11;"Los procesos automatizados utilizados en el cambio no son suficientes para acortar el tiempo de cambio, se requiere una revisión de ellos";4;"";""
12;"Los ajustes requieren revisión de manera que sean más sencillos y rápidos de realizar";4;"";""
13;"Los sistemas de fijación no son los adecuados, se sugiere implementar sistemas de fijación modular que faciliten las actividades de cambios";4;"";""
14;"Existe retraso en el proceso de cambio de molde debido al uso de equipos y herramientas exclusivo del fabricante, se recomienda tomar medidas correctivas";4;"";""
15;"Se recomienda una reubicación de las herramientas para el montaje y desmontaje, ya que deberían ubicarse cerca de la máquina , estar organizadas y clasificadas";4;"";""
16;"Se debe revisar la implementación de  dispositivos de liberación rápida, para mejorar el tiempo del desmontaje, ensamble y montaje";4;"";""
17;"Se recomienda la utilización de elementos de ajuste rápido como tornillos de una vuelta, un movimiento o métodos combinados, herramientas de torque, arandelas, etc, para mejorar el tiempo";4;"";""
18;"Se requiere mayor espacio para el  acceso y manipulación del equipo para realizar las actividades de cambio";4;"";""
19;"Los elementos de transporte no son suficientes o no facilitan el movimiento de materiales y herramientas, se sugiere una revisión de los elementos de transporte";4;"";""
20;"Se requiere mayor limpieza y orden de los equipos, herramientas y del área de trabajo, para ser más eficientes en los cambios de productos";4;"";""
21;"Se recomienda la implementación de materiales ligeros, lo cuales facilitaran las actividades del cambios";4;"";""
22;"Se requiere simplificar los mecanismos de cambios de partes y conexiones en las actividades";4;"";""
23;"Se sugiere revisar los accesorios  y los tipos de  herramientas utilizas, con el objetivo de simplificar las actividades";4;"";""
24;"Se recomienda realizar mejoras en partes y herramientas con el fin de estandarizar  y disminuir su variedad en el proceso de cambio";4;"";""
25;"Los dispositivos de sujeción para mantener objetos fijos no son adecuados o suficientes, generando mayor esfuerzo y tiempo en las actividades";4;"";""
26;"revisar el uso de herramientas, herrajes, poleas, etc. universales para facilitar las actividades de desmontaje, ensamble y montaje";4;"";""
27;"Se requiere revisión de los elementos del cambio, con el fin de definir y estandarizar las tolerancias en  ensambles y ajustes";4;"";""
28;"Las piezas defectuosas no cumplen con señalización y no son debidamente separadas";4;"";""
29;"Se requiere la revisión o implementación de sistemas a prueba y error, para una mayor calidad y seguridad en el proceso de cambio";4;"";""
30;"Se recomienda prestar atención a las configuraciones productivas (talleres, centros de trabajo, líneas de producción, fabricación modular, fabricación continua, etc), ya que estas tienen un efecto sobre los tiempos de cambios rápidos";4;"";""
31;"Los mecanismos de seguimiento y control de la  precisión del equipo no es adecuada,  por lo que influye en la calidad del producto y tiempo de liberación del equipo de producción";4;"";""
32;"La identificación de los materiales, herramientas, etc. No es la adecuada, se recomienda realizar acciones para facilitar su identificación, por ejemplo:  por color, grabado, acabado, etc";4;"";""
33;"Se recomienda revisar tareas que puedan realizarse simultáneamente para optimizar el cambio";4;"";""
34;"El desempeño de los cambios rápidos se ve afectado por el mantenimiento de los equipos, se requiere acciones de mejora para un mantenimiento más eficiente";4;"";""
35;"La documentación del producto como planos, dibujos, etc., no es adecuada, se recomienda revisar que se cuente con la información correcta para las actividades de set-up y rup-up";2;"";""
36;"Las especificaciones de calidad del producto son muy cerradas yo poco claras, lo que retrasa la puesta en marcha del equipo";2;"";""
37;"La puesta en marcha del equipo se ven afectados por el volumen unitario el producto (tamaño), se recomienda una clasificación o mayor revisar la flexibilidad del equipo";2;"";""
38;"El tiempo de los cambios rápidos se ve afectado por la  variedad de modelos de productos, se recomienda revisar las configuraciones del proceso de fabricación";2;"";""
39;"El  tamaño del lote  es una variable que impacta en las actividades de cambios rápidos, revisar ajustes requeridos durante la corrida";2;"";""
40;"Se recomienda prestar atención en las características del producto como  componentes, dimensiones, forma, funciones, parámetros, etc";2;"";""
41;"Se ve un efecto negativo en las  configuraciones de los productos y esto repercute en los tiempos de cambios";2;"";""
42;"Las habilidades y experiencia profesional del  equipo encargado de los cambios de producto no es adecuado, se recomienda realizar capacitaciones";1;"";""
43;"Se recomienda fomentar la cultura organizacional hacia la mejora continua de procesos y del desarrollo del personal,  para lograr mayor compromiso y calidad en las tareas";1;"";""
44;"La mayoría de los involucrados no conocen el proceso,se recomienda poner en práctica capacitaciones a técnicos, operadores, supervisores, etc";1;"";""
45;"Las personas encargadas de realizar los cambios rápidos no conocen  por completo el funcionamiento y mantenimiento de la máquina o equipo, se recomienda capacitación de líderes";1;"";""
46;"Se requiere un seguimiento y actualización de la matriz de entrenamiento de cada involucra en las actividades de cambio";1;"";""
47;"El compromiso de la alta gerencia no es el adecuado,se requiere mayor involucramiento y compromiso para el seguimiento e implementación de mejoras";1;"";""
48;"Se recomienda un programa de sensibilización, de valores organizacionales y/o de incentivos  para el personal, para aumentar el compromiso y la responsabilidad en las tareas elaboradas";1;"";""
49;"Se sugiere adoptar la polifuncionalidad del personal,  como por ejemplo la rotación, capacitación, prácticas de actividades distintas, etc. que le permita brindar apoyo cuando se requiera en las actividades de cambio";1;"";""
50;"Se requiere mayor especialización de los involucrados en las actividades técnica de cambio, esto permitirá la mejora y la eficiencia en los mismos";1;"";""
51;"Se requiere revisión en la ejecución de las tareas del personal, ya que tiene un efecto en la calidad y en el tiempo total del cambio del producto";1;"";""
52;"Revisar los roles de las personas que participan en las actividades de cambios de productos, se debe tener en cuenta  su experiencia, conocimientos y habilidades lo que permitirá mejorar los resultados en el proceso";1;"";""
53;"Se recomienda aumentar la  comunicación verbal, escrita y visual entre las personas involucradas, para facilitar la toma de decisiones en las tareas";1;"";""
54;"El liderazgo de los responsable de los proyectos no es suficiente, se requiere capacitación en dirección, liderazgo, trabajo en equipo, uso de herramientas de mejora etc. para motivar al personal al logro de los objetivos de eficiencia del proceso de cambio";1;"";""
55;"Se requiere motivar y estimular a los trabajadores para incidir de manera positiva en el desempeño de sus actividades, ejemplos: incentivos, mejorar el lugar de trabajo, aumentar la flexibilidad, mayor comunicación";1;"";""
56;"Se requiere una mayor participación y seguimiento  de los líderes de proyectos de mejora en los procesos de cambio";1;"";""
57;"Se requiere revisar el número de persona involucras en las actividades de cambio de producto, con el fin de ser más eficientes y productivos";1;"";""
58;"La carga de trabajo entre los personas no está balanceada, se requiere una revisión";1;"";""
59;"No existe una estructura organizacional clara de los roles y responsabilidades de las personas, se requiere ser más clara en la funciones encomendadas";5;"";""
60;"Se requiere trabajar  o integrar un grupo dedicado a la mejora continua de las actividades de cambio";5;"";""
61;"No son claros los objetivos de reducción de tiempos de cambio, mejora de procesos, disponibilidad del equipo y la reducción de costos entre el personal líder, se recomienda tomar acciones por la gerencia";5;"";""
62;"Se requiere objetivos claros enfocados a la reducción de desperdicios generados en el proceso de cambio, como transporte, tiempo de espera, merma, movimiento, etc";5;"";""
63;"Se requiere apoyo económico para la implementación de mejoras en el equipo, herramientas, area etc, que apoye a la eficiencia de  las actividades de cambios";5;"";""
64;"Se requiere hacer más uso de herramientas para el análisis  en el proceso de mejora continua, como los 5 porqués, diagramas de Pareto, diagramas de causa efecto, ciclo de PDCA, gráficas de control, entre otras que ayudan a identificar las áreas de oportunidad en las actividades de cambios";5;"";""
65;"Se requiere  hacer uso de técnicas complementarias para la mejora de los procesos como 5´s, Poka yoke, Justo a Tiempo, TPM, Kanban, DMAIC, Mapeo de Cadena de Valor, Trabajo Estandarizado, Kaizen, entre otras que apoyan a la eficiencia de los tiempos de cambio";5;"";""
66;"La implementación de varias metodologías de mejora continua a la vez impacta  en la eficiencia, se recomienda medir adecuadamente la implementación  y no traslapar implementaciones sin una correcta evaluación";5;"";""
67;"Se requiere revisar los roles asignados a cada persona y que vaya en función de experiencia, conocimientos y habilidades para ser más productivos y eficientes en las actividades";5;"";""
68;"Se requiere un apoyo claro de la alta dirección de la empresa en las implementaciones de proyectos de mejora en los procesos";5;"";""
69;"El sistema de aseguramiento de la calidad de la compañía no es claro, se requiere una evaluación";5;"";""
70;"Se requiere seguimiento del sistema de aseguramiento de la calidad, ya que no se siguen procedimientos o no son claros para las tareas realizadas";5;"";""
71;"Se requiere medición y seguimiento de los tiempos totales de los cambios de producto y seguimiento en la mejora de los mismos";5;"";""
72;"Se requiere control en las  actualizaciones y documentación de procedimientos del proceso";5;"";""
73;"No se cuenta con un registro de incidencias o no se le da seguimiento adecuado en los procesos";5;"";""
74;"Se requiere atención en las secuencias con las que se realizan las tareas, pueden mejorarse para mejorar los tiempos, evitar errores y hacer mejor uso de los recursos";5;"";""
75;"No son claros los procedimientos de reajuste, esto puede influir en la calidad del producto y tiempos productivos";5;"";""
76;"Se requiere mejor planeación en la programación de producción, de forma que favorezca a las actividades de cambios de producto";5;"";""
77;"Se requiere control en el uso de herramientas, materiales, entre otros factores que están establecidos para realizar los cambios";5;"";""
78;"Las condiciones del entorno (medioambientales, puesto de trabajo, estanterías, etc.) requieren atención para favorecer las actividades de  cambios rápidos";5;"";""
79;"Se requiere atención en la seguridad y prevención de riesgos, así como en la protección contra accidentes del personal en las áreas de trabajo";5;"";""
