"id";"pregunta";"created_at";"updated_at"
1;"El equipo encargado de los cambios de modelo cuenta con habilidades y experiencia profesional";"";""
2;"La cultura de los trabajadores (valores, creencias, costumbres, conocimientos, etc) influyen de manera positiva en la calidad de las tareas, trabajo en equipo y la motivación";"";""
3;"Todos los involucrados en la implementación de los cambios rápidos conocen el proceso";"";""
4;"Las personas encargadas de realizar los cambios rápidos conocen el funcionamiento y mantenimiento de la máquina y/o equipo";"";""
5;"Las personas involucradas en implementar los cambios rápidos cuentan con un programa de capacitación y entrenamiento para trabajar el equipo y uso de herramientas";"";""
6;"Existe un compromiso de la alta gerencia para involucrarse y comprometerse en las mejora de las actividades de cambios rápidos";"";""
7;"El personal encargado de realizar las actividades está comprometido y entiende de manera clara la importancia de realizar la actividad en el menor tiempo";"";""
8;"Las personas involucradas a las actividades de cambios rápidos deben poseer capacidad y disposición para ejecutar varias tareas en los proceso de cambios (polifuncionalidad)";"";""
9;"En la medida que él personas posee mayor especialización en el equipo, los tiempos de las actividades de cambios rápidos se reducen";"";""
10;"La calidad con que se realiza las tareas individuales en la secuencia de actividades de los cambios rápidos impacta en el tiempo en que el equipo está disponible para correr el modelo sin generar desperdicios y cumpliendo con los requerimientos";"";""
11;"Las personas  trabajan en equipo, compartiendo conocimientos y aptitudes, lo que se refleja en la disminución del tiempo de las tareas y mayor eficiencia del trabajo";"";""
12;"La comunicación verbal, escrita y visual entre las personas involucradas en las actividades de cambios rápidos  es un factor importante para la realización de las tareas";"";""
13;"El liderazgo de los responsables de los proyectos de cambios rápidos, motivan a las personas  y dan claridad de los objetivos para un desempeño favorable";"";""
14;"La motivación del personal incide positivamente en el desempeño de las actividades de cambios rápidos, principalmente en la calidad en las tareas, comunicación, trabajo en equipo y logro de los objetivos planteados";"";""
15;"La persona responsable  de dirigir, gestionar o administrar los proyectos de cambios rápidos colaboran en la planeación, seguimiento, gestión de recursos, supervisión, coordinación del personal, generan estadísticas, resuelven las incidencias y problemas y comunican los resultados de manera eficiente";"";""
16;"El número de personas involucradas en las actividades de cambios rápidos son suficiente para lograr la eficiencia en los tiempos de cambio";"";""
17;"La carga de trabajo de las personas que intervienen en el equipo es adecuada";"";""
18;"Se cuenta claramente con las especificaciones del producto (planos, dibujos) lo cual facilita los cambios de modelo";"";""
19;"Las especificaciones de calidad del producto afectan en los tiempos de los cambios rápidos";"";""
20;"El volumen unitario el producto (tamaño), tiene un efecto en los cambios rápidos";"";""
21;"La variedad de modelos de productos tiene un efecto en los tiempos de cambios rápidos.";"";""
22;"El tamaño del lote impacta a los tiempos de cambios rápidos";"";""
23;"Las características del producto (componentes, dimensiones, forma, funciones, parámetros) impactan en los tiempos de cambios rapados";"";""
24;"Las diferentes configuraciones de los productos tienen un efecto en los tiempos de cambios rápidos";"";""
25;"El tiempo que se le invierte al desmontaje o cambiar los elementos que ya no son necesarios para la fabricación de un nuevo producto son relativamente cortos";"";""
26;"El tiempo del ensamblaje de los elementos para la fabricación del nuevo producto son relativamente cortos, debido al cumplimiento de los principios de ensamblaje";"";""
27;"Están claramente definidos las actividades del montaje como: ubicación, orientación, temperatura, velocidad, movimientos, limpieza, purga, etc. por lo que sus tiempos son cortos";"";""
28;"Existe un número mínimo de ajustes en el proceso y están claramente definidos los criterios por lo que los tiempos son mínimos";"";""
29;"Las operaciones del cambio están clasificadas y analizadas en operaciones internas y externas para su optimización";"";""
30;"Los programas de producción permiten planificar, organizar y coordinar estratégicamente todas las actividades previas al nuevo producto";"";""
31;"Las actividades externas se inician en tiempo y forma, lo que permite agilizar las actividades internas al proceso de cambio";"";""
32;"Existe una validación y control del conjunto de valores ajustados, así como pruebas, controles de calidad e indicadores del set up";"";""
33;"Los indicadores como tiempos de cambios y recursos utilizados para poner en marcha el nuevo producto son medidos y monitoreados";"";""
34;"Los tiempos de cambios son mayores en los procesos que se realizan manualmente";"";""
35;"Manejar sistemas de cambio automatizados en los equipos simplifica el tiempo y facilita el trabajo";"";""
36;"Los ajustes son realizados con un mínimo esfuerzo, rápida apertura y cierre";"";""
37;"Se utilizan sistema de fijación modular para facilitar los montajes y ensamblajes de piezas de la máquina";"";""
38;"Existen equipos que manejan accesorios y herramientas exclusivas del fabricante que en ocasiones retrasa el proceso de cambio de modelo";"";""
39;"Las herramientas, partes, accesorios necesarios para realizar el montaje y desmontaje se encuentran organizados y ubicadas cerca de la máquina y/o equipo";"";""
40;"El equipo cuenta con dispositivos de liberación rápida que facilita las actividades de desmontaje, ensambles y montajes del equipo";"";""
41;"El equipo utiliza elementos de ajustes rápidos como: tornillos de una vuelta, un movimiento o métodos combinados, herramientas de torque, arandelas, etc";"";""
42;"Existe un buen acceso para el transporte y manipulación del equipo para realizar los cambios rápidos";"";""
43;"Se cuenta con elementos especiales de transporte para el movimiento de materiales y herramientas, como pallet Jack, grúas portátiles, carros de accesorios y transportadores";"";""
44;"La limpieza del equipo, herramientas y el área de trabajo es adecuada, lo que representa un factor importante para la eficiencia de las actividades";"";""
45;"Se utilizan materiales ligeros en los moldes y en el equipo que facilitan la instalación, transporte y mantenimiento";"";""
46;"Existen pocos mecanismos para realizar las actividades de cambio y no es necesario cambiar piezas completas o conexiones de tuberías";"";""
47;"Las herramientas tienen pocos accesorios y se utilizan pocas herramientas manuales en las actividades de cambio";"";""
48;"Las partes y herramientas esenciales para el cambio se encuentran estandarizadas";"";""
49;"Se utilizan dispositivos de sujeción para mantener objetos fijos en un sitio con un esfuerzo mínimo";"";""
50;"Existe universalidad en las herramientas, herrajes y piezas utilizadas en los procesos";"";""
51;"Los equipos son tolerantes a la variación de los elementos de cambios de productos respecto a sus dimensiones, resistencia, peso, etc";"";""
52;"Las piezas defectuosas son identificadas y separadas";"";""
53;"Se utilizan sistemas a prueba y error (poka-yoke), para evitar errores y garantizar la calidad y la seguridad en las actividades de cambios rápidos";"";""
54;"Las configuraciones productivas como: talleres, centros de trabajo, líneas de producción, fabricación modular, fabricación continua, etc., que maneja la empresa tienen un efecto sobre los tiempos de cambios rápidos";"";""
55;"Existen mecanismos y/o  controles para lograr y mantener la precisión de las piezas de cambio y garantizar la calidad del producto";"";""
56;"Con una revisión visual se puede saber si los materiales, herramientas, etc., están presentes para llevar a cabo el cambio rápido ya que son Identificación con facilidad por color, grabado, acabado, etc";"";""
57;"Las tareas son independientes, por lo que hace posible realizar varias tareas a la vez en el proceso de cambio";"";""
58;"La falta de mantenimiento en los equipos afecta al buen desempeño de los  cambios rápidos";"";""
59;"Existe una estructura organizacional clara que permite que cada persona conozca su rol  y sus  responsabilidades";"";""
60;"Existe un área o grupo específico para la mejora continua de los procesos de la empresa, y desde ahí se plantean y se abordan los problemas y la  reducción de tiempos de  los equipos";"";""
61;"Se tienen objetivos estratégicos para reducir los tiempos de cambios, incrementar la disponibilidad de la máquina o equipo y la reducción de costos relacionadas con las actividades de cambio";"";""
62;"Se cuenta con objetivos establecidos para reducir los desperdicios ocasionados en las actividades de cambios rápidos";"";""
63;"Existe apoyo económico para la implementación de mejoras en el equipo, herramientas, área de trabajo etc. que simplifique y mejore la calidad en las actividades de cambio";"";""
64;"En el proceso de mejora se utilizan herramientas para el análisis de como 5 porqués, diagramas de Pareto, diagramas de causa efecto, ciclo de PDCA, gráficas de control, entre otras que ayudan a identificar las áreas de oportunidad en las actividades de cambios";"";""
65;"Se hacen uso de técnicas complementarias para la mejora de los procesos como 5´s, Poka yoke, Justo a Tiempo, TPM, Kanban, DMAIC, Mapeo de Cadena de Valor, Trabajo Estandarizado, Kaizen, entre otras que apoyan a la eficiencia de los tiempos de cambio";"";""
66;"La implementación de varias metodologías de mejora continua a la vez favorecen a las actividades de cambio rápidos";"";""
67;"Los roles de las personas que participan en las actividades de cambios rápidos,  son asignados de acuerdo a su experiencia, conocimientos y habilidades  lo que permite tener mayor resultados en el proceso";"";""
68;"La alta dirección apoya la implementación de proyectos de cambios rápidos";"";""
69;"La empresa tiene una cultura de aseguramiento de la calidad y documenta sus procesos operativos";"";""
70;"Al momento de realizar el trabajo, se siguen los procedimientos en el orden y secuencia indicada";"";""
71;"Se cuenta con la información del tiempo requerido para realizar cada uno de los cambios";"";""
72;"Cada que se realizan acciones de mejora se documenta y se actualiza el procedimiento del proceso";"";""
73;"Existe un reporte de las incidencias encontradas en los procesos para la realización de un cambio";"";""
74;"Se tienen identificadas, documentadas y asignadas  las tareas o actividades,  lo cual facilita el desarrollo y evitar errores";"";""
75;"Existen procedimientos de reajuste que den un enlace directo entre una falla observada en el producto y el parámetro que debe ser reajustado";"";""
76;"Los cambios no planeados en el plan de producción diaria afectan los tiempos de cambios de modelos";"";""
77;"Sólo se utilizan las herramientas, materiales y medios de control establecidos para realizar el cambio";"";""
78;"Las condiciones del entorno (medioambientales, puesto de trabajo, estanterías, etc.) son adecuados para llevar a cabo los cambios rápidos";"";""
79;"Se cuenta  con equipo de protección para la seguridad del personal que realiza las tareas de cambios rápidos";"";""
